Celebrity,Season,Week,Estimated_Fan_Pct,Certainty_Std,CI_Lower,CI_Upper,CI_Width
John O'Hurley,1,2,0.0763882303500457,0.02543839153768,0.026528982936192907,0.1262474777638985,0.09971849482770559
Kelly Monaco,1,2,0.2201391369661435,0.0454872141614364,0.13098419720972818,0.3092940767225588,0.17830987951283064
Evander Holyfield,1,2,0.219941252281519,0.0349883697561771,0.1513640475594119,0.2885184570036261,0.1371544094442142
Rachel Hunter,1,2,0.1822371415890911,0.0424231748495805,0.09908771888391332,0.2653865642942689,0.16629884541035556
Joey McIntyre,1,2,0.1716074350267205,0.0288309929527362,0.11509868883935753,0.22811618121408345,0.11301749237472591
Trista Sutter,1,2,0.1296868037864799,0.0230222574344934,0.08456317921487283,0.17481042835808697,0.09024724914321414
John O'Hurley,1,3,0.0882843630219096,0.0291568792914335,0.031136879610699948,0.14543184643311927,0.11429496682241932
Kelly Monaco,1,3,0.2806245036068768,0.0621822965042868,0.15874720245847468,0.4025018047552789,0.24375460229680423
Evander Holyfield,1,3,0.1674319695661737,0.0328712310569539,0.10300435669454407,0.23185958243780336,0.1288552257432593
Rachel Hunter,1,3,0.2427121255897557,0.0571719229098054,0.1306551566865371,0.3547690944929743,0.22411393780643718
Joey McIntyre,1,3,0.2209470382152839,0.0591574554836552,0.1049984254673197,0.3368956509632481,0.2318972254959284
John O'Hurley,1,4,0.1094618213076838,0.15,-0.1845381786923162,0.40346182130768377,0.588
Kelly Monaco,1,4,0.3209717999310627,0.15,0.02697179993106269,0.6149717999310627,0.588
Rachel Hunter,1,4,0.3016454982404473,0.15,0.0076454982404473015,0.5956454982404473,0.5880000000000001
Joey McIntyre,1,4,0.2679208805208061,0.15,-0.02607911947919389,0.561920880520806,0.5879999999999999
Tatum O'Neal,2,1,0.1097800015325897,0.0304782159805059,0.05004269821079813,0.16951730485438127,0.11947460664358314
Tia Carrere,2,1,0.0889806897070031,0.0276349640701044,0.03481616012959848,0.1431452192844077,0.10832905915480923
George Hamilton,2,1,0.0876924169719136,0.0180773913199812,0.05226072998475045,0.12312410395907675,0.0708633739743263
Lisa Rinna,2,1,0.0951203115280364,0.0254618611957224,0.045215063584420505,0.1450255594716523,0.09981049588723179
Stacy Keibler,2,1,0.1295646591791383,0.0334337299944224,0.06403454839007038,0.19509476996820618,0.1310602215781358
Jerry Rice,2,1,0.1018174117146008,0.0301312577583695,0.04276014650819659,0.16087467692100502,0.11811453041280842
Giselle Fernandez,2,1,0.1041466161478885,0.0291908597515142,0.04693253103492067,0.16136070126085633,0.11442817022593565
Master P,2,1,0.1157353124371352,0.0257433488190704,0.06527834875175721,0.1661922761225132,0.10091392737075598
Drew Lachey,2,1,0.0973294200574623,0.0281497705080379,0.042155869861708016,0.15250297025321657,0.11034710039150855
Kenny Mayne,2,1,0.0698331607242315,0.0112202870510415,0.047841398104190164,0.09182492334427284,0.04398352524008267
Tatum O'Neal,2,2,0.0856000618840556,0.014606611836729,0.05697110268406676,0.11422902108404444,0.05725791839997768
Tia Carrere,2,2,0.0980887793461505,0.0320785699567653,0.035214782230890515,0.1609627764614105,0.12574799423051997
George Hamilton,2,2,0.0760032998149145,0.0213743218839802,0.034109628922313305,0.11789697070751567,0.08378734178520236
Lisa Rinna,2,2,0.1145426924341131,0.0269656588798766,0.061690001029554964,0.16739538383867122,0.10570538280911626
Stacy Keibler,2,2,0.1405867387984849,0.0413795866414709,0.05948274898120194,0.22169072861576788,0.16220797963456596
Jerry Rice,2,2,0.1180719378504713,0.0312747025721737,0.05677352080901086,0.17937035489193176,0.12259683408292091
Giselle Fernandez,2,2,0.1213806306414805,0.0312855920027755,0.060060870316040516,0.18270039096692048,0.12263952065087996
Master P,2,2,0.1305436647262126,0.0293141223611554,0.07308798489834802,0.18799934455407719,0.11491135965572917
Drew Lachey,2,2,0.1151821945041164,0.0329940459868202,0.05051386436994881,0.179850524638284,0.12933666026833518
Tia Carrere,2,3,0.10451720985554,0.0260174171673137,0.05352307220760515,0.15551134750347484,0.10198827529586968
