Name,Age,Final_Placement,Season,Is_AllStar,Partner_Strength_Index,Region_International,Region_Midwest,Region_Northeast,Region_Other/Unknown,Region_South,Region_West
John O'Hurley,50,2,1,0,2.0,False,False,True,False,False,False
Kelly Monaco,29,1,1,0,8.4,False,False,True,False,False,False
Evander Holyfield,42,5,1,0,7.545454545454546,False,False,False,False,True,False
Rachel Hunter,35,4,1,0,8.714285714285714,True,False,False,False,False,False
Joey McIntyre,32,3,1,0,7.25,False,False,True,False,False,False
Trista Sutter,32,6,1,0,7.0,False,True,False,False,False,False
Tatum O'Neal,42,9,2,0,8.5,False,False,False,False,False,True
Tia Carrere,39,6,2,0,6.0,False,False,False,False,False,True
George Hamilton,66,5,2,0,7.545454545454546,False,False,False,False,True,False
Lisa Rinna,42,4,2,0,7.0,False,False,False,False,False,True
Stacy Keibler,26,3,2,0,7.666666666666667,False,False,True,False,False,False
Jerry Rice,43,2,2,0,8.181818181818182,False,False,False,False,True,False
Giselle Fernandez,44,8,2,0,8.714285714285714,True,False,False,False,False,False
Master P,35,7,2,0,7.25,False,False,False,False,True,False
Drew Lachey,29,1,2,0,5.8,False,True,False,False,False,False
Kenny Mayne,46,10,2,0,10.0,False,False,False,False,False,True
Harry Hamlin,54,9,3,0,7.25,False,False,False,False,False,True
Vivica A. Fox,42,8,3,0,8.5,False,True,False,False,False,False
Monique Coleman,25,4,3,0,7.0,False,False,False,False,True,False
Joey Lawrence,30,3,3,0,7.545454545454546,False,False,True,False,False,False
Mario Lopez,32,2,3,0,6.722222222222222,False,False,False,False,False,True
Emmitt Smith,37,1,3,0,5.8,False,False,False,False,True,False
Shanna Moakler,31,10,3,0,10.0,False,False,True,False,False,False
Willa Ford,25,7,3,0,6.0,False,False,False,False,True,False
Sara Evans,35,6,3,0,7.666666666666667,False,True,False,False,False,False
Jerry Springer,62,5,3,0,6.285714285714286,True,False,False,False,False,False
Tucker Carlson,37,11,3,0,9.5,False,False,False,False,False,True
John Ratzenberger,59,6,4,0,7.545454545454546,False,False,True,False,False,False
Ian Ziering,42,4,4,0,5.8,False,False,True,False,False,False
Clyde Drexler,44,8,4,0,9.5,False,False,False,False,True,False
Laila Ali,29,3,4,0,6.0,False,False,False,False,True,False
Apolo Anton Ohno,24,1,4,0,4.2,False,False,False,False,False,True
Shandi Finnessey,28,10,4,0,10.0,False,True,False,False,False,False
Paulina Porizkova,41,11,4,0,8.4,True,False,False,False,False,False
Heather Mills,39,7,4,0,8.714285714285714,True,False,False,False,False,False
Billy Ray Cyrus,45,5,4,0,6.722222222222222,False,False,False,False,True,False
Joey Fatone,30,2,4,0,6.285714285714286,False,False,True,False,False,False
Leeza Gibbons,50,9,4,0,7.666666666666667,False,False,False,False,True,False
Cameron Mathison,38,5,5,0,7.545454545454546,True,False,False,False,False,False
Jane Seymour,56,6,5,0,7.666666666666667,True,False,False,False,False,False
Sabrina Bryan,23,7,5,0,5.190476190476191,False,False,False,False,False,True
Jennie Garth,35,4,5,0,2.9411764705882355,False,True,False,False,False,False
Floyd Mayweather Jr. ,30,9,5,0,6.722222222222222,False,True,False,False,False,False
Josie Maran,29,12,5,0,8.4,False,False,False,False,False,True
Albert Reed,22,11,5,0,8.181818181818182,False,False,False,False,True,False
Helio Castroneves,32,1,5,0,4.2,True,False,False,False,False,False
Mel B,32,2,5,0,6.0,True,False,False,False,False,False
Wayne Newton,65,10,5,0,5.8,False,False,False,False,True,False
Marie Osmond,47,3,5,0,8.714285714285714,False,False,False,False,False,True
Mark Cuban,49,8,5,0,6.285714285714286,False,False,True,False,False,False
Cristian de la Fuente,34,3,6,0,5.8,True,False,False,False,False,False
Steve Guttenberg,49,10,6,0,8.181818181818182,False,False,True,False,False,False
Priscilla Presley,62,8,6,0,7.0,False,False,True,False,False,False
Marlee Matlin,42,7,6,0,7.0,False,True,False,False,False,False
Shannon Elizabeth,34,6,6,0,2.9411764705882355,False,False,False,False,True,False
Marissa Jaret Winokur,35,4,6,0,7.666666666666667,False,False,True,False,False,False
Jason Taylor,33,2,6,0,7.545454545454546,False,False,True,False,False,False
Kristi Yamaguchi,36,1,6,0,5.190476190476191,False,False,False,False,False,True
Monica Seles,34,11,6,0,8.714285714285714,True,False,False,False,False,False
Penn Jillette,53,12,6,0,6.285714285714286,False,False,True,False,False,False
Adam Carolla,43,9,6,0,4.2,False,False,False,False,False,True
Mario,21,5,6,0,6.722222222222222,False,False,True,False,False,False
Ted McGinley,50,12,7,0,12.0,False,False,False,False,False,True
Cloris Leachman,82,7,7,0,7.5,False,True,False,False,False,False
Susan Lucci,61,6,7,0,7.666666666666667,False,False,True,False,False,False
Cody Linley,18,4,7,0,4.2,False,False,False,False,True,False
Misty May-Treanor,31,10,7,0,6.0,False,False,False,False,False,True
Maurice Greene,34,5,7,0,5.8,False,True,False,False,False,False
Warren Sapp,35,2,7,0,6.285714285714286,False,False,False,False,True,False
Jeffrey Ross,43,13,7,0,7.545454545454546,False,False,True,False,False,False
Toni Braxton,40,8,7,0,8.4,False,False,True,False,False,False
Lance Bass,29,3,7,0,6.166666666666667,False,False,False,False,True,False
Kim Kardashian,27,11,7,0,5.190476190476191,False,False,False,False,False,True
Rocco DiSpirito,41,9,7,0,6.722222222222222,False,False,True,False,False,False
Brooke Burke,37,1,7,0,2.9411764705882355,False,False,True,False,False,False
Gilles Marini,33,2,8,0,5.8,True,False,False,False,False,False
Denise Richards,38,12,8,0,6.0,False,True,False,False,False,False
David Alan Grier,52,9,8,0,6.285714285714286,False,True,False,False,False,False
Lawrence Taylor,50,7,8,0,7.545454545454546,False,False,False,False,True,False
Ty Murray,39,4,8,0,7.285714285714286,False,False,False,False,False,True
Shawn Johnson,17,1,8,0,5.190476190476191,False,True,False,False,False,False
Steve Wozniak,58,10,8,0,6.722222222222222,False,False,False,False,False,True
Belinda Carlisle,50,13,8,0,8.714285714285714,False,False,False,False,False,True
Chuck Wicks,29,6,8,0,4.2,False,False,True,False,False,False
Lil' Kim,34,5,8,0,2.9411764705882355,False,False,True,False,False,False
Steve-O,34,8,8,0,6.166666666666667,True,False,False,False,False,False
