Season,Celebrity,Week,Judge_Total,Judge_Rank,Judge_Pct
1,John O'Hurley,1,20.0,1.0,0.1834862385321101
1,Kelly Monaco,1,13.0,6.0,0.11926605504587157
1,Evander Holyfield,1,18.0,4.0,0.1651376146788991
1,Rachel Hunter,1,20.0,1.0,0.1834862385321101
1,Joey McIntyre,1,20.0,1.0,0.1834862385321101
1,Trista Sutter,1,18.0,4.0,0.1651376146788991
2,Tatum O'Neal,1,23.0,2.0,0.11794871794871795
2,Tia Carrere,1,20.0,6.0,0.10256410256410256
2,George Hamilton,1,18.0,8.0,0.09230769230769231
2,Lisa Rinna,1,19.0,7.0,0.09743589743589744
2,Stacy Keibler,1,22.0,4.0,0.11282051282051282
2,Jerry Rice,1,21.0,5.0,0.1076923076923077
2,Giselle Fernandez,1,23.0,2.0,0.11794871794871795
2,Master P,1,12.0,10.0,0.06153846153846154
2,Drew Lachey,1,24.0,1.0,0.12307692307692308
2,Kenny Mayne,1,13.0,9.0,0.06666666666666667
3,Harry Hamlin,1,17.0,8.0,0.08018867924528301
3,Vivica A. Fox,1,22.0,3.0,0.10377358490566038
3,Monique Coleman,1,19.0,6.0,0.08962264150943396
3,Joey Lawrence,1,21.0,5.0,0.09905660377358491
3,Mario Lopez,1,26.0,1.0,0.12264150943396226
3,Emmitt Smith,1,24.0,2.0,0.11320754716981132
3,Shanna Moakler,1,18.0,7.0,0.08490566037735849
3,Willa Ford,1,22.0,3.0,0.10377358490566038
3,Sara Evans,1,15.0,10.0,0.07075471698113207
3,Jerry Springer,1,16.0,9.0,0.07547169811320754
3,Tucker Carlson,1,12.0,11.0,0.05660377358490566
4,John Ratzenberger,1,17.0,8.0,0.0825242718446602
4,Ian Ziering,1,21.0,3.0,0.10194174757281553
4,Clyde Drexler,1,16.0,9.0,0.07766990291262135
4,Laila Ali,1,23.0,2.0,0.11165048543689321
4,Apolo Anton Ohno,1,21.0,3.0,0.10194174757281553
4,Shandi Finnessey,1,19.0,5.0,0.09223300970873786
4,Paulina Porizkova,1,19.0,5.0,0.09223300970873786
4,Heather Mills,1,18.0,7.0,0.08737864077669903
4,Billy Ray Cyrus,1,13.0,11.0,0.06310679611650485
4,Joey Fatone,1,24.0,1.0,0.11650485436893204
4,Leeza Gibbons,1,15.0,10.0,0.07281553398058252
5,Cameron Mathison,1,21.0,5.0,0.08171206225680934
5,Jane Seymour,1,24.0,3.0,0.0933852140077821
5,Sabrina Bryan,1,26.0,1.0,0.10116731517509728
5,Jennie Garth,1,21.0,5.0,0.08171206225680934
5,Floyd Mayweather Jr. ,1,18.0,11.0,0.07003891050583658
